date,description,amount,category
2026-04-26,Gaming Headset,89.0,Miscellaneous
2026-04-27,Sushi Dinner,45.5,Miscellaneous
2026-04-28,Gym Membership Update,30.0,Miscellaneous
2026-04-01,Groceries - Whole Foods,85.2,Groceries
2026-04-02,Starbucks Coffee,6.5,Food & Drink
2026-04-29,Movie Tickets,35.0,Miscellaneous
2026-04-30,Pharmacy,12.5,Miscellaneous
2026-05-01,Internet Bill,80.0,Miscellaneous
2026-04-03,Amazon - Electronics,120.0,Miscellaneous
2026-04-04,Shell Gas Station,55.0,Transport
2026-04-05,Netflix Subscription,15.99,Subscriptions
2026-04-06,Rent Payment,1200.0,Miscellaneous
2026-04-07,Gym Membership,45.0,Miscellaneous
2026-04-08,Uber Ride,22.4,Miscellaneous
2026-04-09,Local Bistro Dinner,65.0,Miscellaneous
2026-04-10,Apple iCloud Storage,0.99,Miscellaneous
